"filename", "language", "HTML", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\TBG\Documents\wappy\client\.github\workflows\test.yml", "YAML", 0, 0, 0, 0, 0, 0, 46, 0, 13, 59
"c:\Users\TBG\Documents\wappy\client\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 8, 31
"c:\Users\TBG\Documents\wappy\client\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\TBG\Documents\wappy\client\index.html", "HTML", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\TBG\Documents\wappy\client\package-lock.json", "JSON", 0, 0, 10962, 0, 0, 0, 0, 0, 1, 10963
"c:\Users\TBG\Documents\wappy\client\package.json", "JSON", 0, 0, 88, 0, 0, 0, 0, 0, 1, 89
"c:\Users\TBG\Documents\wappy\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 29, 5, 86
"c:\Users\TBG\Documents\wappy\client\src\components\AuthContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 31, 0, 0, 20, 4, 55
"c:\Users\TBG\Documents\wappy\client\src\components\AuthField.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 18, 3, 45
"c:\Users\TBG\Documents\wappy\client\src\components\Checkbox.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 22, 2, 40
"c:\Users\TBG\Documents\wappy\client\src\components\ErrorPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 21, 4, 57
"c:\Users\TBG\Documents\wappy\client\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 20, 5, 78
"c:\Users\TBG\Documents\wappy\client\src\components\GetPDFButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 26, 23, 137
"c:\Users\TBG\Documents\wappy\client\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 269, 0, 0, 27, 15, 311
"c:\Users\TBG\Documents\wappy\client\src\components\HeaderSlice.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 18, 5, 39
"c:\Users\TBG\Documents\wappy\client\src\components\ListItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 178, 0, 0, 36, 14, 228
"c:\Users\TBG\Documents\wappy\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 72, 0, 0, 10, 82
"c:\Users\TBG\Documents\wappy\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 22, 3, 36
"c:\Users\TBG\Documents\wappy\client\src\pages\ChangeEmailPage\ChangeEmailPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 0, 0, 25, 25, 221
"c:\Users\TBG\Documents\wappy\client\src\pages\ChangeEmailPage\ChenageEmailSlice.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 19, 6, 51
"c:\Users\TBG\Documents\wappy\client\src\pages\DashboardPage\DashboardPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 374, 0, 0, 32, 50, 456
"c:\Users\TBG\Documents\wappy\client\src\pages\DashboardPage\DashboardSlice.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 22, 8, 75
"c:\Users\TBG\Documents\wappy\client\src\pages\FavoritePage\FavoritePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 20, 8, 82
"c:\Users\TBG\Documents\wappy\client\src\pages\FavoritePage\FavoritesHooks.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 25, 7, 67
"c:\Users\TBG\Documents\wappy\client\src\pages\HistoryPage\HistoryPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 0, 22, 6, 85
"c:\Users\TBG\Documents\wappy\client\src\pages\ItemPage\ItemPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 203, 0, 0, 27, 20, 250
"c:\Users\TBG\Documents\wappy\client\src\pages\ItemPage\ItemSlice.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 18, 5, 41
"c:\Users\TBG\Documents\wappy\client\src\pages\ItemPage\itemHooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 24, 6, 80
"c:\Users\TBG\Documents\wappy\client\src\pages\SignInPage\SignInPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 204, 0, 0, 31, 15, 250
"c:\Users\TBG\Documents\wappy\client\src\pages\SignUpPage\AuthSlice.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 22, 8, 61
"c:\Users\TBG\Documents\wappy\client\src\pages\SignUpPage\SignUpPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 256, 0, 0, 37, 16, 309
"c:\Users\TBG\Documents\wappy\client\src\setupTests.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\TBG\Documents\wappy\client\src\util\__mocks__\axiosConfig.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\TBG\Documents\wappy\client\src\util\authHooks.js", "JavaScript", 0, 199, 0, 0, 0, 0, 0, 13, 32, 244
"c:\Users\TBG\Documents\wappy\client\src\util\axiosConfig.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 16, 16, 106
"c:\Users\TBG\Documents\wappy\client\src\util\dashboard.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 13, 10, 84
"c:\Users\TBG\Documents\wappy\client\src\util\globalSlice.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 14, 4, 35
"c:\Users\TBG\Documents\wappy\client\src\util\headerHoocks.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 15, 9, 73
"c:\Users\TBG\Documents\wappy\client\src\util\persist.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 19, 6, 67
"c:\Users\TBG\Documents\wappy\client\src\util\routerHooks.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 22, 6, 56
"c:\Users\TBG\Documents\wappy\client\src\util\tests\components\AuthContainer.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 8, 65
"c:\Users\TBG\Documents\wappy\client\src\util\tests\components\AuthField.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 9, 62
"c:\Users\TBG\Documents\wappy\client\src\util\tests\components\Checkbox.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 10, 73
"c:\Users\TBG\Documents\wappy\client\src\util\tests\components\ErrorPage.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\TBG\Documents\wappy\client\src\util\tests\components\Footer.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 1, 11, 71
"c:\Users\TBG\Documents\wappy\client\src\util\tests\components\GetPDFButton.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 22, 108
"c:\Users\TBG\Documents\wappy\client\src\util\tests\components\Header.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 90, 0, 0, 0, 20, 110
"c:\Users\TBG\Documents\wappy\client\src\util\tests\components\ListItem.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 144, 0, 0, 0, 37, 181
"c:\Users\TBG\Documents\wappy\client\src\util\tests\hooks\AuthSlice.test.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\TBG\Documents\wappy\client\src\util\tests\hooks\ChenageEmailSlice.test.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 16, 67
"c:\Users\TBG\Documents\wappy\client\src\util\tests\hooks\DashboardSlice.test.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 10, 63
"c:\Users\TBG\Documents\wappy\client\src\util\tests\hooks\FavoritesHooks.test.js", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 1, 27, 181
"c:\Users\TBG\Documents\wappy\client\src\util\tests\hooks\GlobalSlice.test.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\TBG\Documents\wappy\client\src\util\tests\hooks\HeaderSlice.test.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 1, 15, 66
"c:\Users\TBG\Documents\wappy\client\src\util\tests\hooks\authHooks.test.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 0, 27, 122
"c:\Users\TBG\Documents\wappy\client\src\util\tests\hooks\dashboard.test.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\TBG\Documents\wappy\client\src\util\tests\hooks\headerHooks.test.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 0, 28, 162
"c:\Users\TBG\Documents\wappy\client\src\util\tests\hooks\itemHooks.test.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 23, 109
